,gdp,m3,rate,cpi,proxy_supply,proxy_demand
1974-03-31,4.6410080621051,12.9529713494376,11.226946359,10.3627059005787,-16.182840496,-4.375087
1974-06-30,3.61658839704315,12.3243569221821,11.465486577,11.2739245454528,2.591216551,0.8002
1974-09-30,2.9316139672277,11.9010387196021,11.524151691,12.1504056111556,2.242811858,-2.67764
1974-12-31,0.238677992439484,11.586870071723,10.65978015,12.7291179722733,-0.628147006000003,-0.0634500000000013
1975-03-31,-1.68424191717609,11.524462970799,8.813935178,10.952535115088,1.232940524,3.23572
1975-06-30,-1.35003093050283,11.0196916833301,7.055312727,10.0736338834831,1.139064161,1.49413
1975-09-30,-1.13964251897549,12.1009536660219,6.382283317,8.90561098640457,-0.117536810999997,0.164070000000001
1975-12-31,1.51775174842861,13.1944767497036,6.598864929,7.57793714894133,0.150415393999999,3.807183
1976-03-31,4.07500057135604,13.609061117512,7.00077374,8.64301905980818,-2.003456414,2.710339
1976-06-30,4.83782712860048,14.6489742843781,8.567814704,9.15587370790667,-1.034229638,-0.677784
1976-09-30,4.78679528472927,14.3453457380178,9.348489961,9.06139203519594,-0.667704976,-0.219954
1976-12-31,5.3290486680126,13.5479751279525,9.205677893,9.87357658464232,-0.540395353000001,-0.0247579999999994
1977-03-31,4.12089296263538,12.6774822880244,10.214431834,9.88724897515496,-2.501490458,-0.597003
1977-06-30,2.97771853704152,12.398066936651,9.371813595,9.46991134634092,-0.372978151000002,-3.031114
1977-09-30,2.21798370137041,12.2907730952523,8.998484223,9.85162708465239,1.711101258,2.554393
1977-12-31,1.81362498945337,12.1247668766407,9.12986131,8.84122848987965,0.957014788999999,2.485096
1978-03-31,2.04320834320573,12.5783989860633,8.0570853,7.93834539739677,0.127330712999999,0.347129
1978-06-30,3.04309861477545,12.4560527815262,7.909355931,7.50212272662707,-0.0134134559999985,0.821745
1978-09-30,3.43179655317449,12.7602134858943,9.172121063,7.08279124618061,-0.201499236,2.5684077
1978-12-31,3.42663143242312,13.4035781294024,9.136764561,6.93752478146243,-2.237173781,0.15363333
1979-03-31,3.29511319300462,12.8163420633562,7.697024631,7.47353938880782,-7.593990341,-1.32821503
1979-06-30,3.7498582276573,12.5695901194264,9.350466897,7.64529880914191,-10.886711832,-2.773704
1979-09-30,3.79144017639259,11.6579017852298,11.022080144,8.425863302491,-5.207151702,-2.019928
1979-12-31,3.55290830624888,10.683770871376,12.693692391,9.41050067358451,-4.296161191,-2.64856
1980-03-31,3.98284640931816,9.94448471053184,12.735106889,10.4984732009612,-0.117288096000003,-3.564056
1980-06-30,1.9229021780145,8.73906962807753,13.237090305,10.8021696489608,1.760250144,-1.08496
1980-09-30,1.35704810960409,7.96250205209836,12.239029243,10.7079202867244,2.73524736100001,-0.3736
1980-12-31,0.45866986385299,8.13119110632559,12.663299259,10.6447062219085,-4.22779836500001,-3.28219
1981-03-31,-0.384280320125718,10.1483778949399,13.432882044,10.4750731081593,1.575576957,-3.1195
1981-06-30,0.385489309580045,10.4491068478692,15.507875288,10.5515092243535,4.962939381,-0.828859999999999
1981-09-30,0.718029070904791,10.1713256041525,16.133415178,10.7786778831087,0.944979414999999,-0.977240000000002
1981-12-31,0.9054369654379,9.99172468817302,15.426309167,10.9548961158613,-0.359520449000001,1.77667
1982-03-31,1.22142775065264,10.2811858797,14.331319171,10.1857173118906,3.821505758,2.9415
1982-06-30,1.05673183778929,9.87347609882319,14.400041219,9.84277136852909,-0.816715056,1.0573
1982-09-30,0.246407443430563,10.6810419734319,13.349537282,9.25192331320148,1.713889375,-5.72036
1982-12-31,0.054929629100009,10.7960054709124,12.606617089,8.55138105254936,0.561166307000001,-0.98386
1983-03-31,0.306105193616268,10.3001815223398,11.886461701,8.11881287323955,2.726320512,7.21911
1983-06-30,0.823896923930256,9.58954989480376,11.847544911,7.53315615907031,-1.800040574,-1.32579
1983-09-30,1.61816304324809,9.05945166264193,12.218649981,7.28309126665003,-2.229281492,-0.174030000000002
1983-12-31,2.66297121540049,8.68255428447911,12.169143466,7.09191559022875,0.967587291999998,1.32819
1984-03-31,2.85484589619678,8.13004817310317,11.431690392,6.85695048975257,-0.918681954,-0.596690000000001
1984-06-30,1.7289760235025,8.15651504789834,10.857933396,6.46726651050109,0.194447951000001,-1.97105
1984-09-30,2.49523336826272,8.1879902003819,10.413572546,5.81876545249651,3.444167673,3.88485
1984-12-31,1.91798647152925,8.26330401674666,10.128110652,5.37543628356953,1.138885392,0.191809999999998
1985-03-31,1.28696064826315,8.64586078276219,9.863428615,5.25788964217711,0.353652543000003,2.61266
1985-06-30,2.71029289079578,8.63639811376498,9.961589378,5.2767131805056,0.706313507999994,-0.0999999999999996
1985-09-30,2.52752941833663,7.95724555751902,9.346804458,4.7658223562455,0.863849974000004,1
1985-12-31,2.61149285354758,7.37774848854147,8.627972034,4.32619766124542,-1.636113562,2.7
1986-03-31,2.04530640408471,6.8681833812783,8.748620189,3.45481643456482,9.51335092199999,3.7
1986-06-30,2.91256430458287,6.64264161854256,8.028393695,2.50884821194584,6.153685357,-0.9
1986-09-30,2.57634000754852,6.91122611302633,7.753341258,2.2839566261502,-2.13,1
1986-12-31,2.22925632020292,7.43467092401722,7.874773578,1.80437256619026,0.839999999999996,-0.3
1987-03-31,2.08990429295799,6.93190512639239,8.105352975,1.93126134545238,-1.36,-0.9
1987-06-30,1.94369714654403,7.63331697497427,8.42582686,2.20994206505072,-3.26,-1.7
1987-09-30,2.50514971487537,7.78295478913953,8.490236505,2.44431926947559,-4.07,1.8
