,gdp,idpr,emp,unmp,lcst,cnst,cbc,clc,cpi,sppi,cgpi,expr,impr,cpis,rsal,gfcf,con,gexp,hrl,inv,ccc,cop,exp,imp,gdi,m3m,srt,crt,lrt,bfx
1994-01-31,,-4.70346755439328,-0.016564518800729,0.5,,16.7574672510309,-2.46614,-1.03703,1.16524608067686,-0.180995475113125,-2.01923076923076,-4.45229681978799,-12.2086570477248,1.77580663746006,-0.447844345298013,,,,3.39011,1.57946692991114,-0.262810000000002,1.0,,,,4.55187149452478,1.75,2.33125,3.597,
1994-02-28,,-4.08162567103204,-0.099618130499751,0.6,,5.53610480112166,-2.47495000000001,-0.759720000000002,1.05818983908667,-0.180995475113125,-1.92492781520693,-5.28602461984068,-12.3442808607021,1.7738378550335,-1.94035506020867,,,,1.19651,1.07212475633529,0.018699999999996,1.66667,,,,4.13253336894704,1.75,2.24013,4.041,
1994-03-31,,0.316794019118856,-0.083015108749793,0.6,2.07973137324176,-0.354989336572221,-2.43671,-0.444010000000006,1.37275402364661,-0.271002710027098,-2.02507232401158,-3.83763837638376,-11.2773302646721,1.77186239963845,-1.45336658817409,,,,1.79476000000001,-1.27701375245576,0.228300000000004,2.33333,,,,4.67978185044053,1.75,2.25,4.453,
1994-04-30,,-0.621769727132962,0.082836315440689,0.5,,10.3267902071506,-2.33224,-0.112399999999994,0.838577920276112,-0.720072007200718,-2.02702702702702,-2.85714285714287,-10.8899297423888,1.64654204515851,-1.72325356219603,,,,1.49564,-0.997008973080806,0.405900000000003,3.0,,,,4.4564893112949,1.75,2.175,4.093,
1994-05-31,,-2.04498633160202,0.298359025360517,0.3,,12.2478919524042,-2.18631000000001,0.206699999999998,0.943392438219418,-0.810081008100802,-1.93423597678917,-1.14329268292683,-8.74704491725767,1.64293509101227,-0.634982550169434,,,,0.89739,-0.297324083250767,0.577799999999996,3.66667,,,,4.25770920730859,1.75,2.09046,3.984,
1994-06-30,-0.534767268523158,1.04166998365628,-0.01658099817609,0.3,3.80829051725342,10.9249665596042,-2.01866,0.491100000000003,0.524113774202978,-0.810810810810816,-1.74418604651163,0.077519379844957,-5.81113801452784,1.64113753356494,-0.120648843485289,,,,7.17905999999999,-4.79921645445645,0.755499999999998,4.33333,,,,3.9574744416219,1.75,2.0625,4.278,
1994-07-31,,2.18977877021627,-0.33112582781457,0.4,,6.3599560661729,-1.83642999999999,0.715599999999995,-0.209211018008567,-1.17222723174032,-1.74757281553398,-2.69853508095604,-6.24235006119952,1.6393440837887,3.97005912170145,,,,-3.78894,-5.46875000000005,0.940600000000003,5.0,,,,4.69339289738326,1.75,2.08185,4.531,
1994-08-31,,4.00003155548617,-0.347394540942928,0.5,,2.30928675950825,-1.64830000000001,0.878,0.0,-1.1743450767841,-1.55642023346303,0.078740157480311,0.0,1.52671515199191,2.84548210230242,,,,-0.69797,-8.22050290135394,1.1242,5.66667,,,,5.04674376111107,1.75,2.13043,4.778,
1994-09-30,1.14941285677835,2.62328767052414,-0.347912524850895,0.4,-1.14837908742039,-2.81774771028722,-1.4602,0.965599999999995,0.208339323182667,-1.26467931345981,-1.26829268292683,-2.23592906707787,0.514138817480727,1.30861919607308,0.89864231790085,,,,2.79185000000001,-3.73647984267454,1.27849999999999,6.33333,,,,6.3040781937945,1.75,2.18906,4.642,
1994-10-31,,4.55029259781784,-0.479814692256784,0.3,,0.222966828274641,-1.27681,0.997600000000006,0.72991721343369,-1.17753623188407,-1.27077223851417,-3.125,0.903225806451617,1.63398664435807,0.274113059878743,,,,3.1907,-6.78952473326864,1.34990000000001,7.0,,,,4.60862541609556,1.75,2.2375,4.684,
1994-11-30,,5.40824805355899,-0.462886427508679,0.2,,4.84800340881422,-1.10312999999999,0.976600000000005,0.943392438219418,-1.08794197642793,-1.17531831537707,-3.57414448669202,1.15089514066495,1.85589930506836,0.671277557201851,,,,3.19068000000001,-9.23965351299326,1.28140000000001,6.33333,,,,4.18177091253354,1.75,2.26719,4.718,
1994-12-31,-0.39578729823651,6.94446141806677,-0.545364402578086,0.1,1.69904491874881,3.90969727428201,-0.950779999999995,0.900800000000004,0.733753106211198,-1.2692656391659,-0.980392156862745,-3.82882882882882,2.79187817258884,1.85589930506836,1.2811315532308,,,,1.89448,-9.3422306959008,1.11839999999999,5.66667,,,,4.47800432318747,1.75,2.29315,4.561,
1995-01-31,,5.25750508740131,-0.265076209410205,0.2,,-4.82714278362825,-0.834620000000001,0.773700000000005,0.628280059552124,-1.17860380779692,-0.686947988223751,-4.58579881656804,3.28697850821746,1.96291792896958,-0.323262686438014,,,,3.58953,-4.66472303206992,0.899799999999999,5.0,,,,4.71571418144661,1.75,2.25,4.605,3.363802559415
1995-02-28,,5.85102454613814,0.049858733588167,0.1,,0.83494652848272,-0.74803,0.600999999999999,0.314145172446601,-0.997280145058925,-0.686947988223751,-2.29357798165139,4.78036175710593,1.96079048521215,0.796645662790714,,,,2.99127,-6.65380906460946,0.644800000000004,4.0,,,,3.80979114388108,1.75,2.21719,4.515,-0.158209305050985
1995-03-31,1.090436523921,5.78945598341842,0.099700897308076,0.2,0.443873066238696,-4.87880225713512,-0.692859999999996,0.411699999999996,-0.312498753002895,-1.08695652173913,-0.590551181102357,-5.83269378357637,1.2970168612192,1.95865704231002,0.818558774763437,,2.14089804230719,4.36282712094333,2.79185,-2.58706467661693,0.394300000000001,3.0,4.12043,9.53424,1.15786023631011,3.9425945141696,1.75,2.18892,4.113,5.64778267935918
1995-04-30,,6.04794278552841,-0.347624565469293,0.3,,-8.77129245403383,-0.679820000000007,0.244,-0.207906172869256,-1.2692656391659,-0.591133004926103,-9.05572755417956,-3.15374507227331,1.51187670256263,0.511432777650126,,,,2.89157,0.100704934541879,0.200999999999993,2.0,,,,4.26971955214746,1.0,1.525,3.545,10.9344618551984
1995-05-31,,4.38416004362759,-0.561890596595604,0.2,,-10.9629995605103,-0.697410000000005,0.119299999999996,-0.103834946905966,-1.36116152450091,-0.690335305719924,-8.78951426368542,-4.53367875647668,1.2930967843342,0.506363037574282,,,,2.99128,-0.795228628230618,0.114199999999997,2.0,,,,3.89480057591274,1.0,1.31325,3.386,10.7856191744341
1995-06-30,0.95788504719834,2.98971945914062,-0.182421227197347,0.3,-2.75350934167657,-14.2240106687544,-0.741169999999997,0.081000000000003,0.208546312061115,-1.27157129881925,-0.788954635108492,-8.36560805577072,-5.91259640102827,1.29170483352493,0.392488602824975,,2.41157877931534,3.27723624726273,0.29912,2.26337448559674,0.108400000000003,2.0,5.09381,10.74551,2.93095479294566,4.48054108259599,1.0,1.27909,3.024,10.9712230215827
1995-07-31,,0.510200693294966,0.016611295681063,0.2,,-9.53367709920699,-0.812330000000003,0.156899999999993,0.209649628129829,-1.09489051094889,-0.889328063241112,-3.88272583201268,-3.65535248041775,1.18279771486116,-1.67246461674428,,,,6.18195999999999,6.09504132231413,0.169700000000006,2.0,,,,4.29541885064431,1.0,0.94667,2.933,4.33082024828525
1995-08-31,,1.21457045386947,-0.182602921646746,0.2,,-14.0151513042626,-0.890270000000001,0.328999999999994,-0.208556554500687,-1.46252285191957,-0.988142292490119,0.3933910306845,-1.66240409207161,1.28894074245778,-0.682148912285236,,,,0.39885,4.95258166491051,0.302000000000007,2.66667,,,,4.52959868188773,1.0,0.88174,3.215,-1.29885123823818
1995-09-30,1.17011462469207,0.613494891189232,0.266001662510391,0.2,-0.52786590914681,-5.63161440207947,-0.948790000000002,0.573400000000007,0.103942875936006,-1.09789569990851,-0.988142292490119,4.41640378548897,2.04603580562659,1.61463908550117,0.095385492988702,,2.21958950730659,3.78353352356328,1.79476999999999,3.6772216547497,0.465199999999996,3.33333,4.17868,13.49776,3.27164322519633,4.4878246055228,0.5,0.5735,3.03,-6.79371293684151
1995-10-31,,1.11336456676095,0.066500415627598,0.2,,-3.9796304062739,-0.965609999999998,0.867000000000004,-0.621115549313168,-0.916590284142988,-1.08910891089108,4.16994492525571,2.55754475703325,1.28617768520907,0.023640240567589,,,,1.79476000000001,7.38813735691993,0.6203,4.0,,,,6.03501727934037,0.5,0.46667,2.925,-8.24416062593487
1995-11-30,,1.30783470667716,-0.149476831091181,0.5,,0.135621323898669,-0.95138,1.1681,-0.623050481022017,-1.00824931255728,-0.991080277502478,4.88958990536278,2.40202275600506,1.28617768520907,0.426311089143387,,,,0.79767999999999,7.21102863202548,0.742500000000007,4.33333,,,,7.42892657708135,0.5,0.4605,3.048,-9.48959650534544
